0-20,20-30,30-40,40-50,50-60 ,60-65,65-70,70-75,75-80,80-inf,total
0,0,0,0,0,0.142857142857139,0.142857142857167,0.14285714285711,0.14285714285711,1.28571428571411,1.85714285714263
0,0,0,0,0,0.142857142857139,0.142857142857167,0.14285714285711,0.14285714285711,1.28571428571411,1.85714285714263
0,0,0,0,0,0.142857142857139,0.142857142857167,0.14285714285711,0.14285714285711,1.28571428571411,1.85714285714263
0,0,0,0,0,0.142857142857139,0.142857142857167,0.14285714285711,0.14285714285711,1.28571428571411,1.85714285714263
0,0,0,0,0,0.142857142857167,0.142857142856997,0.142857142857338,0.142857142857338,1.28571428571536,1.8571428571442
0,0,0,0.142857142857142,0,0,0,0.571428571428555,0.85714285714289,3.14285714285717,4.71428571428575
0,0,0,0.142857142857142,0,0,0,0.571428571428555,0.85714285714289,3.14285714285717,4.71428571428575
0,0,0,0.142857142857142,0,0,0,0.571428571428555,0.85714285714289,3.14285714285717,4.71428571428575
0,0,0,0.142857142857142,0,0,0,0.571428571428555,0.85714285714289,3.14285714285717,4.71428571428575
0,0,0,0.142857142857142,0,0,0,0.571428571428555,0.85714285714289,3.14285714285717,4.71428571428575
0,0,0,0.142857142857142,0,0,0,0.571428571428555,0.85714285714289,3.14285714285717,4.71428571428575
0,0,0,0.142857142857146,0,0,0,0.571428571428669,0.857142857142662,3.142857142857,4.71428571428547
0,0,0,0.571428571428573,0.142857142857139,0.714285714285722,0.571428571428555,1.42857142857144,1.28571428571422,9.85714285714294,14.5714285714286
0,0,0,0.571428571428573,0.142857142857139,0.714285714285722,0.571428571428555,1.42857142857144,1.28571428571422,9.85714285714294,14.5714285714286
0,0,0,0.571428571428573,0.142857142857139,0.714285714285722,0.571428571428555,1.42857142857144,1.28571428571422,9.85714285714294,14.5714285714286
0,0,0,0.571428571428573,0.142857142857139,0.714285714285722,0.571428571428555,1.42857142857144,1.28571428571422,9.85714285714294,14.5714285714286
0,0,0,0.571428571428573,0.142857142857139,0.714285714285722,0.571428571428555,1.42857142857144,1.28571428571422,9.85714285714294,14.5714285714286
0,0,0,0.571428571428573,0.142857142857139,0.714285714285722,0.571428571428555,1.42857142857144,1.28571428571422,9.85714285714294,14.5714285714286
0,0,0,0.571428571428562,0.142857142857167,0.714285714285666,0.571428571428669,1.42857142857133,1.28571428571468,9.85714285714231,14.5714285714284
0,0,0,0,0.714285714285715,0.142857142857139,0.571428571428555,0.428571428571445,1.71428571428578,9.1428571428571,12.7142857142857
0,0,0,0,0.714285714285715,0.142857142857139,0.571428571428555,0.428571428571445,1.71428571428578,9.1428571428571,12.7142857142857
